Date,Open,High,Low,Close,Volume
11/29/2016 15:30:00,27300,28250,26750,28100,138484
11/30/2016 15:30:00,28100,28100,26850,27050,104696
12/1/2016 15:30:00,27050,27300,26650,27000,65710
12/2/2016 15:30:00,26850,27250,26750,27200,47370
12/5/2016 15:30:00,26800,27050,26300,26450,42806
12/6/2016 15:30:00,26500,27150,26500,26950,52227
12/7/2016 15:30:00,27700,28100,27000,27600,105259
12/8/2016 15:30:00,27600,28250,27600,27900,89678
12/9/2016 15:30:00,27900,29000,27900,28900,155011
12/12/2016 15:30:00,29300,29350,28150,28600,128133
12/13/2016 15:30:00,28650,29000,28400,28600,100074
12/14/2016 15:30:00,28850,28850,28400,28550,50906
12/15/2016 15:30:00,28500,28750,28250,28650,49911
12/16/2016 15:30:00,28650,28750,28300,28600,43290
12/19/2016 15:30:00,28400,28550,28100,28550,35302
12/20/2016 15:30:00,28350,28700,28350,28450,49331
12/21/2016 15:30:00,28450,28750,28300,28600,38444
12/22/2016 15:30:00,28550,28600,27950,28050,63096
12/23/2016 15:30:00,28000,28500,27950,28300,41483
12/26/2016 15:30:00,28500,28750,28200,28350,37934
12/27/2016 15:30:00,28100,28550,28050,28400,38291
12/28/2016 15:30:00,28400,28500,28000,28250,37615
12/29/2016 15:30:00,28050,28500,28050,28350,31726
1/2/2017 15:30:00,27750,27900,27100,27450,67305
1/3/2017 15:30:00,27450,27600,27150,27500,46329
1/4/2017 15:30:00,27500,27700,27250,27300,46616
1/5/2017 15:30:00,27500,29200,27450,28800,197380
1/6/2017 15:30:00,28900,28900,28250,28400,73583
1/9/2017 15:30:00,28250,28400,27650,27650,54962
1/10/2017 15:30:00,27500,27650,27350,27450,51999
1/11/2017 15:30:00,27300,27650,27300,27450,39180
1/12/2017 15:30:00,27500,27550,27150,27200,49922
1/13/2017 15:30:00,27200,27700,27050,27200,48551
1/16/2017 15:30:00,27200,27350,26800,26850,48050
1/17/2017 15:30:00,26850,27400,26850,26950,45853
1/18/2017 15:30:00,27300,27300,26900,27050,25022
1/19/2017 15:30:00,27200,27600,27000,27500,63410
1/20/2017 15:30:00,27300,27750,27300,27350,40470
1/23/2017 15:30:00,27350,27350,26850,26900,44933
1/24/2017 15:30:00,26800,27100,26550,26550,37036
1/25/2017 15:30:00,26750,26750,25900,26100,58058
1/26/2017 15:30:00,25800,26450,25800,26150,60475
1/31/2017 15:30:00,26150,26500,26150,26200,35651
2/1/2017 15:30:00,26150,27500,26150,27500,73818
2/2/2017 15:30:00,27800,27800,27100,27100,53474
2/3/2017 15:30:00,27100,27600,26700,27000,46969
2/6/2017 15:30:00,26700,27200,26500,26750,56586
2/7/2017 15:30:00,26450,27000,26450,26850,44406
2/8/2017 15:30:00,26850,27050,26400,26550,43425
2/9/2017 15:30:00,26500,26800,26400,26500,42994
2/10/2017 15:30:00,26750,27150,26450,27000,48122
2/13/2017 15:30:00,27200,27750,27100,27500,63490
2/14/2017 15:30:00,27500,27750,27350,27750,50831
2/15/2017 15:30:00,27750,28400,27700,28000,122915
2/16/2017 15:30:00,28400,28550,28000,28300,87807
2/17/2017 15:30:00,28300,28500,28000,28000,52963
2/20/2017 15:30:00,27950,28000,27550,27650,40713
2/21/2017 15:30:00,27400,28100,27400,28000,31410
2/22/2017 15:30:00,28300,28300,27800,27850,48837
2/23/2017 15:30:00,27500,27550,26950,27450,107186
2/24/2017 15:30:00,27400,28400,27150,28100,142118
2/27/2017 15:30:00,28350,28350,27650,27650,80461
2/28/2017 15:30:00,27600,27600,26950,27000,85601
3/2/2017 15:30:00,26900,26900,26350,26350,82194
3/3/2017 15:30:00,26350,26350,25300,25450,163063
3/6/2017 15:30:00,25000,25400,24650,25200,72707
3/7/2017 15:30:00,24850,25450,24850,25200,85229
3/8/2017 15:30:00,25000,25500,25000,25450,52652
3/9/2017 15:30:00,25450,27300,25450,27100,241056
3/10/2017 15:30:00,27100,27750,26700,27000,106179
3/13/2017 15:30:00,27100,27450,26900,26950,47232
3/14/2017 15:30:00,26950,27300,26900,26950,54658
3/15/2017 15:30:00,27200,27250,26800,26950,42343
3/16/2017 15:30:00,26950,28300,26950,28100,216052
3/17/2017 15:30:00,28100,29100,27650,29000,516501
3/20/2017 15:30:00,30200,30700,28500,28500,906374
3/21/2017 15:30:00,28600,29150,28300,28350,159525
3/22/2017 15:30:00,28400,28900,28350,28650,106574
3/23/2017 15:30:00,28600,29050,28550,28850,79048
3/24/2017 15:30:00,28700,29150,28550,28950,78218
3/27/2017 15:30:00,28850,29200,28800,29000,74505
3/28/2017 15:30:00,29200,29350,28800,28850,62572
3/29/2017 15:30:00,29100,29100,28500,28750,55488
3/30/2017 15:30:00,28550,29000,28500,28650,52062
3/31/2017 15:30:00,28700,29250,28600,29200,86257
4/3/2017 15:30:00,29200,29650,29100,29500,96758
4/4/2017 15:30:00,29700,29700,29150,29300,70128
4/5/2017 15:30:00,29450,29550,29000,29300,77400
4/6/2017 15:30:00,29450,29450,28950,29100,46276
4/7/2017 15:30:00,29100,29400,29000,29000,45199
4/10/2017 15:30:00,28800,28950,27850,27900,133905
4/11/2017 15:30:00,27800,28450,27600,27800,83369
4/12/2017 15:30:00,27750,27950,27550,27950,54024
4/13/2017 15:30:00,28250,28550,27950,28050,66634
4/14/2017 15:30:00,27850,28050,27750,27850,46670
